,wavelength,pacs160,pacs100,dnu
15096,49.62779999,0,3.00E-08,-7546017286
15097,49.68939972,0,2.00E-08,-7546017286
15098,49.75120163,0,2.00E-08,-7546017286
15099,49.8132019,0,3.00E-08,-7546017286
15100,49.87530136,0,4.00E-08,-7546017286
15101,49.93759918,0,6.00E-08,-7546017286
15102,50,0,1.00E-07,-7546017286
15103,50.06259918,0,1.40E-07,-7546017286
15104,50.12530136,0,1.90E-07,-7546017286
15105,50.1882019,0,2.50E-07,-7546017286
15106,50.25130081,0,2.80E-07,-7546017286
15107,50.3144989,0,2.80E-07,-7546017286
15108,50.37779999,0,3.00E-07,-7546017286
15109,50.44139862,0,2.90E-07,-7546017286
15110,50.50510025,0,2.70E-07,-7546017286
15111,50.56890106,0,2.60E-07,-7546017286
15112,50.63290024,0,1.80E-07,-7546017286
15113,50.69710159,0,1.20E-07,-7546017286
15114,50.76139832,0,3.10E-07,-7546017286
15115,50.82590103,0,6.00E-07,-7546017286
15116,50.8905983,0,8.80E-07,-7546017286
15117,50.95539856,0,1.29E-06,-7546017286
15118,51.020401,0,1.53E-06,-7546017286
15119,51.08560181,0,1.53E-06,-7546017286
15120,51.15090179,0,1.66E-06,-7546017286
15121,51.21640015,0,1.76E-06,-7546017286
15122,51.28210068,0,1.54E-06,-7546017286
15123,51.34790039,0,1.54E-06,-7546017286
15124,51.41389847,0,1.65E-06,-7546017286
15125,51.48009872,0,1.46E-06,-7546017286
15126,51.54639816,0,1.78E-06,-7546017286
15127,51.61289978,0,2.56E-06,-7546017286
15128,51.67959976,0,2.81E-06,-7546017286
15129,51.74639893,0,3.13E-06,-7546017286
15130,51.81349945,0,3.74E-06,-7546017286
15131,51.88069916,0,3.55E-06,-7546017286
15132,51.94810104,0,3.43E-06,-7546017286
15133,52.0155983,0,4.21E-06,-7546017286
15134,52.08330154,0,4.59E-06,-7546017286
15135,52.15119934,0,5.00E-06,-7546017286
15136,52.21929932,0,6.20E-06,-7546017286
15137,52.28760147,0,6.62E-06,-7546017286
15138,52.35599899,0,6.74E-06,-7546017286
15139,52.49340057,0,7.55E-06,-7546017286
15140,52.56240082,0,5.93E-06,-7546017286
15141,52.63159943,0,5.40E-06,-7546017286
15142,52.70090103,0,4.94E-06,-7546017286
15143,52.770401,0,4.17E-06,-7546017286
15144,52.84019852,0,5.14E-06,-7546017286
15145,52.91009903,0,5.69E-06,-7546017286
15146,52.98009872,0,4.13E-06,-7546017286
15147,53.05039978,0,3.42E-06,-7546017286
15148,53.12080002,0,3.40E-06,-7546017286
15149,53.19150162,0,2.51E-06,-7546017286
15150,53.26229858,0,2.74E-06,-7546017286
15151,53.33330154,0,3.72E-06,-7546017286
15152,53.40449905,0,3.71E-06,-7546017286
15153,53.47589874,0,3.89E-06,-7546017286
15154,53.54750061,0,4.67E-06,-7546017286
15155,53.61930084,0,3.99E-06,-7546017286
15156,53.69130325,0,2.90E-06,-7546017286
15157,53.76339722,0,3.07E-06,-7546017286
15158,53.83580017,0,3.25E-06,-7546017286
15159,53.90840149,0,3.26E-06,-7546017286
15160,53.98110199,0,4.14E-06,-7546017286
15161,54.05410004,0,4.69E-06,-7546017286
15162,54.12720108,0,4.42E-06,-7546017286
15163,54.20050049,0,4.80E-06,-7546017286
15164,54.27409744,0,4.89E-06,-7546017286
15165,54.34780121,0,3.69E-06,-7546017286
15166,54.42179871,0,3.34E-06,-7546017286
15167,54.4958992,0,3.82E-06,-7546017286
15168,54.57030487,0,4.01E-06,-7546017286
15169,54.64479828,0,6.60E-06,-7546017286
15170,54.71960449,0,1.07E-05,-7546017286
15171,54.79449463,0,1.19E-05,-7546017286
15172,54.86970139,0,1.24E-05,-7546017286
15173,54.94510269,0,1.31E-05,-7546017286
15174,55.02060318,0,1.04E-05,-7546017286
15175,55.09640503,1.00E-08,8.09E-06,-7546017286
15176,55.17240143,1.00E-08,1.04E-05,-7546017286
15177,55.24860001,1.00E-08,1.28E-05,-7546017286
15178,55.32499695,2.00E-08,1.86E-05,-7546017286
15179,55.40169525,2.00E-08,3.17E-05,-7546017286
15180,55.47850418,1.00E-08,4.18E-05,-7546017286
15181,55.5555954,3.00E-08,4.89E-05,-7546017286
15182,55.63280106,4.00E-08,5.96E-05,-7546017286
15183,55.71029663,4.00E-08,5.87E-05,-7546017286
15184,55.7879982,5.00E-08,4.13E-05,-7546017286
15185,55.86590195,7.00E-08,2.64E-05,-7546017286
15186,55.94410324,7.00E-08,1.29E-05,-7546017286
15187,56.0223999,1.00E-07,8.30E-07,-7546017286
15188,56.10100555,1.40E-07,8.09E-06,-7546017286
15189,56.17979431,1.50E-07,3.31E-05,-7546017286
15190,56.25880432,1.50E-07,5.24E-05,-7546017286
15191,56.33800507,1.60E-07,7.52E-05,-7546017286
15192,56.41749573,1.30E-07,9.73E-05,-7546017286
15193,56.49720383,1.10E-07,9.50E-05,-7546017286
15194,56.57710266,1.10E-07,8.96E-05,-7546017286
15195,56.65719604,8.00E-08,8.65E-05,-7546017286
15196,56.73759842,4.00E-08,5.86E-05,-7546017286
15197,56.81820297,3.00E-08,3.56E-05,-7546017286
15198,56.89899445,1.00E-08,3.91E-05,-7546017286
15199,56.98009491,0,2.94E-05,-7546017286
15200,57.06129837,0,1.29E-05,-7546017286
15201,57.14289856,0,2.04E-05,-7546017286
15202,57.22460175,0,2.77E-05,-7546017286
15203,57.30659866,0,3.17E-05,-7546017286
15204,57.38880157,0,5.01E-05,-7546017286
15205,57.4712944,0,5.15E-05,-7546017286
15206,57.55400467,1.00E-08,3.74E-05,-7546017286
15207,57.63690186,1.00E-08,5.15E-05,-7546017286
15208,57.72010422,2.00E-08,6.64E-05,-7546017286
15209,57.80350113,2.00E-08,5.63E-05,-7546017286
15210,57.88709641,2.00E-08,6.26E-05,-7546017286
15211,57.97100067,2.00E-08,8.77E-05,-7546017286
15212,58.05519867,2.00E-08,0.00012209,-7546017286
15213,58.13949966,2.00E-08,0.00019412,-7546017286
15214,58.22419739,2.00E-08,0.00027256,-7546017286
15215,58.30899811,2.00E-08,0.00029714,-7546017286
15216,58.39420319,1.00E-08,0.00029164,-7546017286
15217,58.47949982,1.00E-08,0.000289,-7546017286
15218,58.56520462,1.00E-08,0.00027978,-7546017286
15219,58.65100098,1.00E-08,0.00027034,-7546017286
15220,58.73720169,1.00E-08,0.00025326,-7546017286
15221,58.82350159,1.00E-08,0.00021611,-7546017286
15222,58.9101944,1.00E-08,0.00019521,-7546017286
15223,58.99710083,1.00E-08,0.00020067,-7546017286
15224,59.08420563,0,0.00019513,-7546017286
15225,59.17160416,0,0.00017182,-7546017286
15226,59.25930405,0,0.000152,-7546017286
15227,59.34719849,0,0.00015605,-7546017286
